round,iteration,unit_name,level,parent,elapsed_ms
1,1,stem.conv1,L3,stem,3.741249
1,1,stem.bn1,L3,stem,0.889706
1,1,stem.relu,L3,stem,0.354793
1,1,stem.maxpool,L3,stem,7.338556
1,1,stem,L1,model,12.34379
1,1,layer1.0.conv1,L3,layer1.0,4.058258
1,1,layer1.0.bn1,L3,layer1.0,0.231034
1,1,layer1.0.relu1,L3,layer1.0,0.058946
1,1,layer1.0.conv2,L3,layer1.0,3.242304
1,1,layer1.0.bn2,L3,layer1.0,0.188152
1,1,layer1.0.add,L3,layer1.0,0.124387
1,1,layer1.0.relu2,L3,layer1.0,0.045746
1,1,layer1.0,L2,layer1,7.97879
1,1,layer1.1.conv1,L3,layer1.1,3.026704
1,1,layer1.1.bn1,L3,layer1.1,0.120685
1,1,layer1.1.relu1,L3,layer1.1,0.063206
1,1,layer1.1.conv2,L3,layer1.1,2.948483
1,1,layer1.1.bn2,L3,layer1.1,0.173136
1,1,layer1.1.add,L3,layer1.1,0.116145
1,1,layer1.1.relu2,L3,layer1.1,0.042394
1,1,layer1.1,L2,layer1,6.51485
1,1,layer1,L1,model,14.539177
1,1,layer2.0.conv1,L3,layer2.0,1.905545
1,1,layer2.0.bn1,L3,layer2.0,0.102526
1,1,layer2.0.relu1,L3,layer2.0,0.036736
1,1,layer2.0.conv2,L3,layer2.0,3.203682
1,1,layer2.0.bn2,L3,layer2.0,0.097149
1,1,layer2.0.downsample,L3,layer2.0,0.598189
1,1,layer2.0.add,L3,layer2.0,0.055803
1,1,layer2.0.relu2,L3,layer2.0,0.032895
1,1,layer2.0,L2,layer2,6.06214
1,1,layer2.1.conv1,L3,layer2.1,3.103111
1,1,layer2.1.bn1,L3,layer2.1,0.072425
1,1,layer2.1.relu1,L3,layer2.1,0.028076
1,1,layer2.1.conv2,L3,layer2.1,3.030267
1,1,layer2.1.bn2,L3,layer2.1,0.070958
1,1,layer2.1.add,L3,layer2.1,0.051542
1,1,layer2.1.relu2,L3,layer2.1,0.024444
1,1,layer2.1,L2,layer2,6.401288
1,1,layer2,L1,model,12.496464
1,1,layer3.0.conv1,L3,layer3.0,1.971825
1,1,layer3.0.bn1,L3,layer3.0,0.084438
1,1,layer3.0.relu1,L3,layer3.0,0.032407
1,1,layer3.0.conv2,L3,layer3.0,3.618469
1,1,layer3.0.bn2,L3,layer3.0,0.092609
1,1,layer3.0.downsample,L3,layer3.0,0.487352
1,1,layer3.0.add,L3,layer3.0,0.038273
1,1,layer3.0.relu2,L3,layer3.0,0.02626
1,1,layer3.0,L2,layer3,6.382082
1,1,layer3.1.conv1,L3,layer3.1,3.697599
1,1,layer3.1.bn1,L3,layer3.1,0.112653
1,1,layer3.1.relu1,L3,layer3.1,0.033873
1,1,layer3.1.conv2,L3,layer3.1,3.702627
1,1,layer3.1.bn2,L3,layer3.1,0.106368
1,1,layer3.1.add,L3,layer3.1,0.046863
1,1,layer3.1.relu2,L3,layer3.1,0.038552
1,1,layer3.1,L2,layer3,7.764518
1,1,layer3,L1,model,14.178936
1,1,layer4.0.conv1,L3,layer4.0,4.045617
1,1,layer4.0.bn1,L3,layer4.0,0.115378
1,1,layer4.0.relu1,L3,layer4.0,0.032896
1,1,layer4.0.conv2,L3,layer4.0,10.800092
1,1,layer4.0.bn2,L3,layer4.0,0.093028
1,1,layer4.0.downsample,L3,layer4.0,0.494126
1,1,layer4.0.add,L3,layer4.0,0.027866
1,1,layer4.0.relu2,L3,layer4.0,0.022699
1,1,layer4.0,L2,layer4,15.664317
1,1,layer4.1.conv1,L3,layer4.1,6.048032
1,1,layer4.1.bn1,L3,layer4.1,0.090514
1,1,layer4.1.relu1,L3,layer4.1,0.030032
1,1,layer4.1.conv2,L3,layer4.1,6.463587
1,1,layer4.1.bn2,L3,layer4.1,0.091073
1,1,layer4.1.add,L3,layer4.1,0.03045
1,1,layer4.1.relu2,L3,layer4.1,0.02207
1,1,layer4.1,L2,layer4,12.800272
1,1,layer4,L1,model,28.497205
1,1,avgpool,L1,model,0.094705
1,1,fc,L1,model,0.223561
1,1,model,L0,,82.408268
1,2,stem.conv1,L3,stem,3.554424
1,2,stem.bn1,L3,stem,0.903395
1,2,stem.relu,L3,stem,0.309047
1,2,stem.maxpool,L3,stem,7.201458
1,2,stem,L1,model,11.987741
1,2,layer1.0.conv1,L3,layer1.0,3.124133
1,2,layer1.0.bn1,L3,layer1.0,0.11866
1,2,layer1.0.relu1,L3,layer1.0,0.045816
1,2,layer1.0.conv2,L3,layer1.0,2.954839
1,2,layer1.0.bn2,L3,layer1.0,0.149809
1,2,layer1.0.add,L3,layer1.0,0.110349
1,2,layer1.0.relu2,L3,layer1.0,0.041905
1,2,layer1.0,L2,layer1,6.570654
1,2,layer1.1.conv1,L3,layer1.1,2.907905
1,2,layer1.1.bn1,L3,layer1.1,0.095892
1,2,layer1.1.relu1,L3,layer1.1,0.036667
1,2,layer1.1.conv2,L3,layer1.1,2.868026
1,2,layer1.1.bn2,L3,layer1.1,0.103993
1,2,layer1.1.add,L3,layer1.1,0.098685
1,2,layer1.1.relu2,L3,layer1.1,0.038133
1,2,layer1.1,L2,layer1,6.170813
1,2,layer1,L1,model,12.782183
1,2,layer2.0.conv1,L3,layer2.0,1.891926
1,2,layer2.0.bn1,L3,layer2.0,0.104762
1,2,layer2.0.relu1,L3,layer2.0,0.037155
1,2,layer2.0.conv2,L3,layer2.0,3.123225
1,2,layer2.0.bn2,L3,layer2.0,0.083391
1,2,layer2.0.downsample,L3,layer2.0,0.516964
1,2,layer2.0.add,L3,layer2.0,0.047632
1,2,layer2.0.relu2,L3,layer2.0,0.031358
1,2,layer2.0,L2,layer2,5.86449
1,2,layer2.1.conv1,L3,layer2.1,2.983124
1,2,layer2.1.bn1,L3,layer2.1,0.067257
1,2,layer2.1.relu1,L3,layer2.1,0.024305
1,2,layer2.1.conv2,L3,layer2.1,2.965943
1,2,layer2.1.bn2,L3,layer2.1,0.068095
1,2,layer2.1.add,L3,layer2.1,0.050634
1,2,layer2.1.relu2,L3,layer2.1,0.024375
1,2,layer2.1,L2,layer2,6.205035
1,2,layer2,L1,model,12.100883
1,2,layer3.0.conv1,L3,layer3.0,1.926009
1,2,layer3.0.bn1,L3,layer3.0,0.093028
1,2,layer3.0.relu1,L3,layer3.0,0.030521
1,2,layer3.0.conv2,L3,layer3.0,3.633764
1,2,layer3.0.bn2,L3,layer3.0,0.102946
1,2,layer3.0.downsample,L3,layer3.0,0.504113
1,2,layer3.0.add,L3,layer3.0,0.035759
1,2,layer3.0.relu2,L3,layer3.0,0.027099
1,2,layer3.0,L2,layer3,6.384108
1,2,layer3.1.conv1,L3,layer3.1,3.539548
1,2,layer3.1.bn1,L3,layer3.1,0.099733
1,2,layer3.1.relu1,L3,layer3.1,0.032406
1,2,layer3.1.conv2,L3,layer3.1,3.439326
1,2,layer3.1.bn2,L3,layer3.1,0.089466
1,2,layer3.1.add,L3,layer3.1,0.04826
1,2,layer3.1.relu2,L3,layer3.1,0.024793
1,2,layer3.1,L2,layer3,7.297979
1,2,layer3,L1,model,13.713724
1,2,layer4.0.conv1,L3,layer4.0,3.990792
1,2,layer4.0.bn1,L3,layer4.0,0.091352
1,2,layer4.0.relu1,L3,layer4.0,0.030032
1,2,layer4.0.conv2,L3,layer4.0,6.092032
1,2,layer4.0.bn2,L3,layer4.0,0.10574
1,2,layer4.0.downsample,L3,layer4.0,0.50118
1,2,layer4.0.add,L3,layer4.0,0.028007
1,2,layer4.0.relu2,L3,layer4.0,0.022978
1,2,layer4.0,L2,layer4,10.892911
1,2,layer4.1.conv1,L3,layer4.1,6.059556
1,2,layer4.1.bn1,L3,layer4.1,0.088908
