unit_name,level,round,round_mean_ms,round_n,round_cv
stem.conv1,L3,1,3.605478,200,0.002397
stem.conv1,L3,2,3.623915,200,0.002397
stem.conv1,L3,3,3.614653,200,0.002397
stem.conv1,L3,4,3.617821,200,0.002397
stem.conv1,L3,5,3.612094,200,0.002397
stem.conv1,L3,6,3.611072,200,0.002397
stem.conv1,L3,7,3.626952,200,0.002397
stem.conv1,L3,8,3.610384,200,0.002397
stem.conv1,L3,9,3.627466,200,0.002397
stem.conv1,L3,10,3.602556,200,0.002397
stem.bn1,L3,1,0.906926,200,0.002661
stem.bn1,L3,2,0.910524,200,0.002661
stem.bn1,L3,3,0.907688,200,0.002661
stem.bn1,L3,4,0.911335,200,0.002661
stem.bn1,L3,5,0.910392,200,0.002661
stem.bn1,L3,6,0.90909,200,0.002661
stem.bn1,L3,7,0.91446,200,0.002661
stem.bn1,L3,8,0.906168,200,0.002661
stem.bn1,L3,9,0.909757,200,0.002661
stem.bn1,L3,10,0.908202,200,0.002661
stem.relu,L3,1,0.355692,200,0.011416
stem.relu,L3,2,0.360071,200,0.011416
stem.relu,L3,3,0.361615,200,0.011416
stem.relu,L3,4,0.363526,200,0.011416
stem.relu,L3,5,0.355613,200,0.011416
stem.relu,L3,6,0.359461,200,0.011416
stem.relu,L3,7,0.366049,200,0.011416
stem.relu,L3,8,0.356095,200,0.011416
stem.relu,L3,9,0.366066,200,0.011416
stem.relu,L3,10,0.356773,200,0.011416
stem.maxpool,L3,1,7.253078,200,0.001334
stem.maxpool,L3,2,7.281614,200,0.001334
stem.maxpool,L3,3,7.262676,200,0.001334
stem.maxpool,L3,4,7.271304,200,0.001334
stem.maxpool,L3,5,7.260956,200,0.001334
stem.maxpool,L3,6,7.262749,200,0.001334
stem.maxpool,L3,7,7.278544,200,0.001334
stem.maxpool,L3,8,7.267926,200,0.001334
stem.maxpool,L3,9,7.277729,200,0.001334
stem.maxpool,L3,10,7.257083,200,0.001334
stem,L1,1,12.140416,200,0.001914
stem,L1,2,12.195535,200,0.001914
stem,L1,3,12.166364,200,0.001914
stem,L1,4,12.18397,200,0.001914
stem,L1,5,12.157957,200,0.001914
stem,L1,6,12.16174,200,0.001914
stem,L1,7,12.205435,200,0.001914
stem,L1,8,12.160172,200,0.001914
stem,L1,9,12.200298,200,0.001914
stem,L1,10,12.143734,200,0.001914
layer1.0.conv1,L3,1,3.165067,200,0.002239
layer1.0.conv1,L3,2,3.175826,200,0.002239
layer1.0.conv1,L3,3,3.165107,200,0.002239
layer1.0.conv1,L3,4,3.168325,200,0.002239
layer1.0.conv1,L3,5,3.156922,200,0.002239
layer1.0.conv1,L3,6,3.165113,200,0.002239
layer1.0.conv1,L3,7,3.176427,200,0.002239
layer1.0.conv1,L3,8,3.167461,200,0.002239
layer1.0.conv1,L3,9,3.170083,200,0.002239
layer1.0.conv1,L3,10,3.154169,200,0.002239
layer1.0.bn1,L3,1,0.124406,200,0.011129
layer1.0.bn1,L3,2,0.126555,200,0.011129
layer1.0.bn1,L3,3,0.125395,200,0.011129
layer1.0.bn1,L3,4,0.12581,200,0.011129
layer1.0.bn1,L3,5,0.122775,200,0.011129
layer1.0.bn1,L3,6,0.125952,200,0.011129
layer1.0.bn1,L3,7,0.126376,200,0.011129
layer1.0.bn1,L3,8,0.124978,200,0.011129
layer1.0.bn1,L3,9,0.126516,200,0.011129
layer1.0.bn1,L3,10,0.122967,200,0.011129
layer1.0.relu1,L3,1,0.049058,200,0.011146
layer1.0.relu1,L3,2,0.0489,200,0.011146
layer1.0.relu1,L3,3,0.049298,200,0.011146
layer1.0.relu1,L3,4,0.048427,200,0.011146
layer1.0.relu1,L3,5,0.048823,200,0.011146
layer1.0.relu1,L3,6,0.049701,200,0.011146
layer1.0.relu1,L3,7,0.049697,200,0.011146
layer1.0.relu1,L3,8,0.049238,200,0.011146
