unit_name,level,parent,n,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,pct_of_model
model,L0,,2000,75.376916,75.229926,1.142587,76.80462,73.79657,100.890934,100.0
layer4,L1,model,2000,23.575818,23.478757,0.419853,24.1954,23.083574,30.507988,31.28
layer3,L1,model,2000,13.961111,13.893994,0.294236,14.457345,13.53385,19.017914,18.52
layer1,L1,model,2000,13.132342,13.110018,0.396205,13.747725,12.552329,18.047819,17.42
stem,L1,model,2000,12.171562,12.119194,0.217148,12.504608,11.913838,15.822816,16.15
layer2,L1,model,2000,12.171989,12.088167,0.37572,12.736001,11.726834,18.581873,16.15
fc,L1,model,2000,0.236737,0.228592,0.021252,0.274896,0.219651,0.71944,0.31
avgpool,L1,model,2000,0.093697,0.090584,0.008809,0.109442,0.086115,0.305767,0.12
layer4.1,L2,layer4,2000,12.565124,12.505837,0.2425,12.974423,12.292541,16.61279,16.67
layer4.0,L2,layer4,2000,10.977457,10.92099,0.252216,11.344372,10.690221,15.664317,14.56
layer3.1,L2,layer3,2000,7.47478,7.429621,0.200348,7.821022,7.223024,10.155687,9.92
layer1.0,L2,layer1,2000,6.569722,6.521888,0.189719,6.881069,6.340182,9.084323,8.72
layer1.1,L2,layer1,2000,6.519337,6.558877,0.288019,6.956725,6.114865,8.913421,8.65
layer3.0,L2,layer3,2000,6.453378,6.41812,0.154963,6.718438,6.260896,8.818646,8.56
layer2.1,L2,layer2,2000,6.322753,6.277881,0.205279,6.655587,6.07308,9.528782,8.39
layer2.0,L2,layer2,2000,5.814719,5.765684,0.223017,6.154229,5.539834,9.292309,7.71
stem.maxpool,L3,stem,2000,7.267366,7.247076,0.110162,7.415803,7.142041,9.478716,9.64
layer4.1.conv1,L3,layer4.1,2000,6.157207,6.120413,0.137471,6.390447,6.013602,8.092437,8.17
layer4.0.conv2,L3,layer4.0,2000,6.152903,6.118554,0.172629,6.373817,5.996284,10.800092,8.16
layer4.1.conv2,L3,layer4.1,2000,6.102626,6.069095,0.135433,6.329256,5.958732,8.119256,8.1
layer4.0.conv1,L3,layer4.0,2000,4.002021,3.980474,0.104464,4.204465,3.852381,5.102323,5.31
layer3.0.conv2,L3,layer3.0,2000,3.669383,3.645589,0.085929,3.822708,3.54243,4.789294,4.87
layer3.1.conv1,L3,layer3.1,2000,3.625119,3.59726,0.097045,3.816906,3.500534,4.89643,4.81
stem.conv1,L3,stem,2000,3.615239,3.593737,0.087458,3.751686,3.51463,4.672659,4.8
layer3.1.conv2,L3,layer3.1,2000,3.520651,3.495303,0.114982,3.706425,3.38409,4.813949,4.67
layer1.0.conv1,L3,layer1.0,2000,3.16645,3.145319,0.088876,3.291995,3.051873,4.768551,4.2
layer2.0.conv2,L3,layer2.0,2000,3.071456,3.048021,0.095486,3.211256,2.961003,4.634975,4.07
layer2.1.conv1,L3,layer2.1,2000,3.020392,2.993143,0.09528,3.163698,2.912188,4.426288,4.01
layer2.1.conv2,L3,layer2.1,2000,3.00652,2.981147,0.093072,3.147634,2.89333,4.607876,3.99
layer1.1.conv2,L3,layer1.1,2000,2.976071,2.97323,0.109301,3.150774,2.838776,4.110019,3.95
layer1.1.conv1,L3,layer1.1,2000,2.966564,2.942558,0.087334,3.114945,2.873993,4.075447,3.94
layer1.0.conv2,L3,layer1.0,2000,2.920222,2.89466,0.084475,3.05774,2.835693,4.081803,3.87
layer3.0.conv1,L3,layer3.0,2000,1.970602,1.948026,0.072511,2.086792,1.893897,2.80699,2.61
layer2.0.conv1,L3,layer2.0,2000,1.886581,1.870049,0.081425,2.005576,1.803231,2.953866,2.5
stem.bn1,L3,stem,2000,0.909454,0.901166,0.038851,0.977223,0.807512,1.493347,1.21
layer2.0.downsample,L3,layer2.0,2000,0.524052,0.511938,0.052988,0.615167,0.453413,1.080025,0.7
layer4.0.downsample,L3,layer4.0,2000,0.512373,0.503453,0.038495,0.573468,0.474501,1.04546,0.68
layer3.0.downsample,L3,layer3.0,2000,0.495411,0.487843,0.034556,0.555588,0.447057,0.828743,0.66
stem.relu,L3,stem,2000,0.360096,0.345367,0.054145,0.463816,0.297106,0.821545,0.48
layer1.1.bn2,L3,layer1.1,2000,0.160687,0.167269,0.048659,0.227615,0.090096,0.369253,0.21
layer1.1.bn1,L3,layer1.1,2000,0.149783,0.134514,0.046478,0.216369,0.091074,0.449642,0.2
layer1.1.add,L3,layer1.1,2000,0.145037,0.13029,0.039942,0.204636,0.091563,0.389298,0.19
layer1.0.bn1,L3,layer1.0,2000,0.125173,0.121524,0.015975,0.148901,0.108255,0.399073,0.17
layer1.0.bn2,L3,layer1.0,2000,0.121459,0.113143,0.028835,0.174324,0.088699,0.35284,0.16
