parent,parent_mean_ms,children_sum_ms,gap_ms,gap_pct,num_children
layer2.0,5.814719,5.786159,0.02856,0.49,8
layer3.0,6.453378,6.422172,0.031206,0.48,8
layer1.0,6.569722,6.5427,0.027022,0.41,7
layer1.1,6.519337,6.494657,0.02468,0.38,7
layer3.1,7.47478,7.448939,0.025841,0.35,7
layer2.1,6.322753,6.301185,0.021568,0.34,7
layer1,13.132342,13.089059,0.043283,0.33,2
layer2,12.171989,12.137472,0.034517,0.28,2
layer4.0,10.977457,10.946549,0.030908,0.28,8
layer3,13.961111,13.928158,0.032953,0.24,2
layer4.1,12.565124,12.538926,0.026198,0.21,7
stem,12.171562,12.152155,0.019407,0.16,4
layer4,23.575818,23.542581,0.033237,0.14,2
model,75.376916,75.343256,0.03366,0.04,7
