LAST SEEN   TYPE     REASON              OBJECT                                                 MESSAGE
69s         Normal   Scheduled           pod/chain-2svc-plain-nonmesh-svc-1-65db99bffc-28zg9    Successfully assigned rq21-ab-c0-plain/chain-2svc-plain-nonmesh-svc-1-65db99bffc-28zg9 to aks-rq15pool-31581052-vmss000000
69s         Normal   Scheduled           pod/chain-2svc-plain-nonmesh-svc-2-7f8894d69b-d9wpv    Successfully assigned rq21-ab-c0-plain/chain-2svc-plain-nonmesh-svc-2-7f8894d69b-d9wpv to aks-rq15pool-31581052-vmss000000
70s         Normal   ScalingReplicaSet   deployment/chain-2svc-plain-nonmesh-svc-1              Scaled up replica set chain-2svc-plain-nonmesh-svc-1-65db99bffc from 0 to 1
70s         Normal   Created             pod/chain-2svc-plain-nonmesh-svc-1-65db99bffc-28zg9    Created container: inference
70s         Normal   Started             pod/chain-2svc-plain-nonmesh-svc-1-65db99bffc-28zg9    Started container inference
70s         Normal   SuccessfulCreate    replicaset/chain-2svc-plain-nonmesh-svc-1-65db99bffc   Created pod: chain-2svc-plain-nonmesh-svc-1-65db99bffc-28zg9
70s         Normal   Pulled              pod/chain-2svc-plain-nonmesh-svc-1-65db99bffc-28zg9    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 96ms (96ms including waiting). Image size: 413013146 bytes.
70s         Normal   Pulling             pod/chain-2svc-plain-nonmesh-svc-1-65db99bffc-28zg9    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
70s         Normal   Pulling             pod/chain-2svc-plain-nonmesh-svc-2-7f8894d69b-d9wpv    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
70s         Normal   Pulled              pod/chain-2svc-plain-nonmesh-svc-2-7f8894d69b-d9wpv    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 87ms (87ms including waiting). Image size: 413013146 bytes.
70s         Normal   SuccessfulCreate    replicaset/chain-2svc-plain-nonmesh-svc-2-7f8894d69b   Created pod: chain-2svc-plain-nonmesh-svc-2-7f8894d69b-d9wpv
70s         Normal   ScalingReplicaSet   deployment/chain-2svc-plain-nonmesh-svc-2              Scaled up replica set chain-2svc-plain-nonmesh-svc-2-7f8894d69b from 0 to 1
69s         Normal   Created             pod/chain-2svc-plain-nonmesh-svc-2-7f8894d69b-d9wpv    Created container: inference
69s         Normal   Started             pod/chain-2svc-plain-nonmesh-svc-2-7f8894d69b-d9wpv    Started container inference
