LAST SEEN   TYPE     REASON      OBJECT                              MESSAGE
63s         Normal   Scheduled   pod/benchmark-client                Successfully assigned rq21-ab-c1-client/benchmark-client to aks-rq15pool-31581052-vmss000000
47s         Normal   Scheduled   pod/rq21-ab-direct-20260516121213   Successfully assigned rq21-ab-c1-client/rq21-ab-direct-20260516121213 to aks-rq15pool-31581052-vmss000000
63s         Normal   Pulling     pod/benchmark-client                Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
63s         Normal   Pulled      pod/benchmark-client                Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 117ms (117ms including waiting). Image size: 413013146 bytes.
63s         Normal   Created     pod/benchmark-client                Created container: client
63s         Normal   Started     pod/benchmark-client                Started container client
47s         Normal   Pulling     pod/rq21-ab-direct-20260516121213   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
47s         Normal   Pulled      pod/rq21-ab-direct-20260516121213   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 159ms (159ms including waiting). Image size: 413013146 bytes.
47s         Normal   Created     pod/rq21-ab-direct-20260516121213   Created container: debug
47s         Normal   Started     pod/rq21-ab-direct-20260516121213   Started container debug
44s         Normal   Killing     pod/rq21-ab-direct-20260516121213   Stopping container debug
