LAST SEEN   TYPE     REASON              OBJECT                                                  MESSAGE
94s         Normal   Scheduled           pod/chain-2svc-split-l4-plain-svc-1-84b6b65b56-gwx64    Successfully assigned rq21-ms-l4-plain/chain-2svc-split-l4-plain-svc-1-84b6b65b56-gwx64 to aks-rq15pool-53575030-vmss000000
94s         Normal   Scheduled           pod/chain-2svc-split-l4-plain-svc-2-595bf6f8f8-lxdq2    Successfully assigned rq21-ms-l4-plain/chain-2svc-split-l4-plain-svc-2-595bf6f8f8-lxdq2 to aks-rq15pool-53575030-vmss000000
94s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l4-plain-svc-1              Scaled up replica set chain-2svc-split-l4-plain-svc-1-84b6b65b56 from 0 to 1
94s         Normal   Created             pod/chain-2svc-split-l4-plain-svc-1-84b6b65b56-gwx64    Created container: inference
94s         Normal   Started             pod/chain-2svc-split-l4-plain-svc-1-84b6b65b56-gwx64    Started container inference
94s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l4-plain-svc-1-84b6b65b56   Created pod: chain-2svc-split-l4-plain-svc-1-84b6b65b56-gwx64
94s         Normal   Pulled              pod/chain-2svc-split-l4-plain-svc-1-84b6b65b56-gwx64    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 234ms (234ms including waiting). Image size: 413013146 bytes.
94s         Normal   Pulling             pod/chain-2svc-split-l4-plain-svc-1-84b6b65b56-gwx64    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
94s         Normal   Pulling             pod/chain-2svc-split-l4-plain-svc-2-595bf6f8f8-lxdq2    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
94s         Normal   Pulled              pod/chain-2svc-split-l4-plain-svc-2-595bf6f8f8-lxdq2    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 113ms (113ms including waiting). Image size: 413013146 bytes.
94s         Normal   SuccessfulCreate    replicaset/chain-2svc-split-l4-plain-svc-2-595bf6f8f8   Created pod: chain-2svc-split-l4-plain-svc-2-595bf6f8f8-lxdq2
94s         Normal   ScalingReplicaSet   deployment/chain-2svc-split-l4-plain-svc-2              Scaled up replica set chain-2svc-split-l4-plain-svc-2-595bf6f8f8 from 0 to 1
93s         Normal   Created             pod/chain-2svc-split-l4-plain-svc-2-595bf6f8f8-lxdq2    Created container: inference
93s         Normal   Started             pod/chain-2svc-split-l4-plain-svc-2-595bf6f8f8-lxdq2    Started container inference
