LAST SEEN   TYPE     REASON      OBJECT                              MESSAGE
70s         Normal   Scheduled   pod/benchmark-client                Successfully assigned rq21-ms-l2-plain-client/benchmark-client to aks-rq15pool-53575030-vmss000000
56s         Normal   Scheduled   pod/rq21-ms-direct-20260516105557   Successfully assigned rq21-ms-l2-plain-client/rq21-ms-direct-20260516105557 to aks-rq15pool-53575030-vmss000000
70s         Normal   Pulling     pod/benchmark-client                Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
70s         Normal   Pulled      pod/benchmark-client                Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 125ms (125ms including waiting). Image size: 413013146 bytes.
70s         Normal   Created     pod/benchmark-client                Created container: client
70s         Normal   Started     pod/benchmark-client                Started container client
56s         Normal   Pulling     pod/rq21-ms-direct-20260516105557   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
56s         Normal   Pulled      pod/rq21-ms-direct-20260516105557   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 131ms (131ms including waiting). Image size: 413013146 bytes.
56s         Normal   Created     pod/rq21-ms-direct-20260516105557   Created container: debug
56s         Normal   Started     pod/rq21-ms-direct-20260516105557   Started container debug
54s         Normal   Killing     pod/rq21-ms-direct-20260516105557   Stopping container debug
