LAST SEEN   TYPE     REASON      OBJECT                                MESSAGE
2m1s        Normal   Scheduled   pod/benchmark-client                  Successfully assigned rq21-client-chain5-mtls/benchmark-client to aks-rq15pool-34343338-vmss000000
89s         Normal   Scheduled   pod/rq21-direct-deny-20260517121430   Successfully assigned rq21-client-chain5-mtls/rq21-direct-deny-20260517121430 to aks-rq15pool-34343338-vmss000000
2m1s        Normal   Pulling     pod/benchmark-client                  Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
2m          Normal   Pulled      pod/benchmark-client                  Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 176ms (176ms including waiting). Image size: 413013146 bytes.
2m          Normal   Created     pod/benchmark-client                  Created container: client
2m          Normal   Started     pod/benchmark-client                  Started container client
88s         Normal   Pulling     pod/rq21-direct-deny-20260517121430   Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
88s         Normal   Pulled      pod/rq21-direct-deny-20260517121430   Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 272ms (272ms including waiting). Image size: 413013146 bytes.
88s         Normal   Created     pod/rq21-direct-deny-20260517121430   Created container: debug
88s         Normal   Started     pod/rq21-direct-deny-20260517121430   Started container debug
52s         Normal   Killing     pod/rq21-direct-deny-20260517121430   Stopping container debug
