LAST SEEN   TYPE     REASON              OBJECT                                                   MESSAGE
80s         Normal   Scheduled           pod/chain-2svc-plain-multinode-svc-1-859d5ff55f-qsn9r    Successfully assigned rq21b-chain2-plain/chain-2svc-plain-multinode-svc-1-859d5ff55f-qsn9r to aks-rq21bpool-33797924-vmss000000
80s         Normal   Scheduled           pod/chain-2svc-plain-multinode-svc-2-755db8fc77-nmz2g    Successfully assigned rq21b-chain2-plain/chain-2svc-plain-multinode-svc-2-755db8fc77-nmz2g to aks-rq21bpool-33797924-vmss000002
80s         Normal   ScalingReplicaSet   deployment/chain-2svc-plain-multinode-svc-1              Scaled up replica set chain-2svc-plain-multinode-svc-1-859d5ff55f from 0 to 1
80s         Normal   ScalingReplicaSet   deployment/chain-2svc-plain-multinode-svc-2              Scaled up replica set chain-2svc-plain-multinode-svc-2-755db8fc77 from 0 to 1
80s         Normal   SuccessfulCreate    replicaset/chain-2svc-plain-multinode-svc-2-755db8fc77   Created pod: chain-2svc-plain-multinode-svc-2-755db8fc77-nmz2g
80s         Normal   SuccessfulCreate    replicaset/chain-2svc-plain-multinode-svc-1-859d5ff55f   Created pod: chain-2svc-plain-multinode-svc-1-859d5ff55f-qsn9r
79s         Normal   Created             pod/chain-2svc-plain-multinode-svc-1-859d5ff55f-qsn9r    Created container: inference
79s         Normal   Started             pod/chain-2svc-plain-multinode-svc-1-859d5ff55f-qsn9r    Started container inference
79s         Normal   Pulling             pod/chain-2svc-plain-multinode-svc-2-755db8fc77-nmz2g    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
79s         Normal   Pulled              pod/chain-2svc-plain-multinode-svc-2-755db8fc77-nmz2g    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 149ms (149ms including waiting). Image size: 413013146 bytes.
79s         Normal   Created             pod/chain-2svc-plain-multinode-svc-2-755db8fc77-nmz2g    Created container: inference
79s         Normal   Started             pod/chain-2svc-plain-multinode-svc-2-755db8fc77-nmz2g    Started container inference
79s         Normal   Pulled              pod/chain-2svc-plain-multinode-svc-1-859d5ff55f-qsn9r    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 230ms (230ms including waiting). Image size: 413013146 bytes.
79s         Normal   Pulling             pod/chain-2svc-plain-multinode-svc-1-859d5ff55f-qsn9r    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
