LAST SEEN   TYPE     REASON              OBJECT                                                  MESSAGE
88s         Normal   Scheduled           pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Successfully assigned rq21b-chain2-mtls/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft to aks-rq21bpool-33797924-vmss000000
88s         Normal   Scheduled           pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Successfully assigned rq21b-chain2-mtls/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd to aks-rq21bpool-33797924-vmss000002
89s         Normal   ScalingReplicaSet   deployment/chain-2svc-mtls-multinode-svc-1              Scaled up replica set chain-2svc-mtls-multinode-svc-1-848fcd5cf4 from 0 to 1
89s         Normal   SuccessfulCreate    replicaset/chain-2svc-mtls-multinode-svc-1-848fcd5cf4   Created pod: chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft
88s         Normal   Pulled              pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
88s         Normal   Created             pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Created container: istio-init
88s         Normal   Started             pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Started container istio-init
88s         Normal   ScalingReplicaSet   deployment/chain-2svc-mtls-multinode-svc-2              Scaled up replica set chain-2svc-mtls-multinode-svc-2-7dd948d8d8 from 0 to 1
88s         Normal   SuccessfulCreate    replicaset/chain-2svc-mtls-multinode-svc-2-7dd948d8d8   Created pod: chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd
88s         Normal   Started             pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Started container istio-init
88s         Normal   Created             pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Created container: istio-init
88s         Normal   Pulled              pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
87s         Normal   Started             pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Started container istio-proxy
87s         Normal   Created             pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Created container: istio-proxy
87s         Normal   Pulled              pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
87s         Normal   Created             pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Created container: istio-proxy
87s         Normal   Started             pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Started container istio-proxy
87s         Normal   Pulled              pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Container image "mcr.microsoft.com/oss/v2/istio/proxyv2:v1.29.1-4" already present on machine
85s         Normal   Pulling             pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
85s         Normal   Started             pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Started container inference
85s         Normal   Pulling             pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Pulling image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b"
85s         Normal   Pulled              pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 110ms (110ms including waiting). Image size: 413013146 bytes.
85s         Normal   Created             pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Created container: inference
85s         Normal   Started             pod/chain-2svc-mtls-multinode-svc-2-7dd948d8d8-5z5pd    Started container inference
85s         Normal   Pulled              pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Successfully pulled image "thesisrq15acr.azurecr.io/thesis-inference@sha256:d292aef407ee8a15da2bdaa680de1cc24b0975e7de81d27e1fc3a7d128b8736b" in 131ms (131ms including waiting). Image size: 413013146 bytes.
85s         Normal   Created             pod/chain-2svc-mtls-multinode-svc-1-848fcd5cf4-89pft    Created container: inference
