round,iteration,unit_name,level,parent,elapsed_ms
1,1,stem.conv1,L3,stem,4.105682
1,1,stem.bn1,L3,stem,1.610285
1,1,stem.relu,L3,stem,0.65547
1,1,stem.maxpool,L3,stem,7.381498
1,1,stem,L1,model,13.78171
1,1,layer1.0.conv1,L3,layer1.0,3.355156
1,1,layer1.0.bn1,L3,layer1.0,0.204708
1,1,layer1.0.relu1,L3,layer1.0,0.05769
1,1,layer1.0.conv2,L3,layer1.0,2.983944
1,1,layer1.0.bn2,L3,layer1.0,0.193254
1,1,layer1.0.add,L3,layer1.0,0.177749
1,1,layer1.0.relu2,L3,layer1.0,0.048052
1,1,layer1.0,L2,layer1,7.050095
1,1,layer1.1.conv1,L3,layer1.1,3.007551
1,1,layer1.1.bn1,L3,layer1.1,0.104274
1,1,layer1.1.relu1,L3,layer1.1,0.041137
1,1,layer1.1.conv2,L3,layer1.1,2.868075
1,1,layer1.1.bn2,L3,layer1.1,0.086814
1,1,layer1.1.add,L3,layer1.1,0.101411
1,1,layer1.1.relu2,L3,layer1.1,0.038204
1,1,layer1.1,L2,layer1,6.267443
1,1,layer1,L1,model,13.393456
1,1,layer2.0.conv1,L3,layer2.0,1.832803
1,1,layer2.0.bn1,L3,layer2.0,0.091633
1,1,layer2.0.relu1,L3,layer2.0,0.031498
1,1,layer2.0.conv2,L3,layer2.0,3.015373
1,1,layer2.0.bn2,L3,layer2.0,0.07103
1,1,layer2.0.downsample,L3,layer2.0,0.564606
1,1,layer2.0.add,L3,layer2.0,0.094846
1,1,layer2.0.relu2,L3,layer2.0,0.034083
1,1,layer2.0,L2,layer2,5.761923
1,1,layer2.1.conv1,L3,layer2.1,2.997703
1,1,layer2.1.bn1,L3,layer2.1,0.071868
1,1,layer2.1.relu1,L3,layer2.1,0.025912
1,1,layer2.1.conv2,L3,layer2.1,2.925975
1,1,layer2.1.bn2,L3,layer2.1,0.06656
1,1,layer2.1.add,L3,layer2.1,0.046236
1,1,layer2.1.relu2,L3,layer2.1,0.024375
1,1,layer2.1,L2,layer2,6.178113
1,1,layer2,L1,model,11.973352
1,1,layer3.0.conv1,L3,layer3.0,1.917452
1,1,layer3.0.bn1,L3,layer3.0,0.087373
1,1,layer3.0.relu1,L3,layer3.0,0.03101
1,1,layer3.0.conv2,L3,layer3.0,3.620767
1,1,layer3.0.bn2,L3,layer3.0,0.092052
1,1,layer3.0.downsample,L3,layer3.0,0.488198
1,1,layer3.0.add,L3,layer3.0,0.036807
1,1,layer3.0.relu2,L3,layer3.0,0.026121
1,1,layer3.0,L2,layer3,6.332256
1,1,layer3.1.conv1,L3,layer3.1,3.590735
1,1,layer3.1.bn1,L3,layer3.1,0.091005
1,1,layer3.1.relu1,L3,layer3.1,0.031499
1,1,layer3.1.conv2,L3,layer3.1,3.468441
1,1,layer3.1.bn2,L3,layer3.1,0.090795
1,1,layer3.1.add,L3,layer3.1,0.040927
1,1,layer3.1.relu2,L3,layer3.1,0.024794
1,1,layer3.1,L2,layer3,7.36257
1,1,layer3,L1,model,13.726744
1,1,layer4.0.conv1,L3,layer4.0,3.485343
1,1,layer4.0.bn1,L3,layer4.0,0.088979
1,1,layer4.0.relu1,L3,layer4.0,0.029054
1,1,layer4.0.conv2,L3,layer4.0,10.69831
1,1,layer4.0.bn2,L3,layer4.0,0.093379
1,1,layer4.0.downsample,L3,layer4.0,0.506706
1,1,layer4.0.add,L3,layer4.0,0.035271
1,1,layer4.0.relu2,L3,layer4.0,0.023817
1,1,layer4.0,L2,layer4,14.991658
1,1,layer4.1.conv1,L3,layer4.1,6.038779
1,1,layer4.1.bn1,L3,layer4.1,0.088629
1,1,layer4.1.relu1,L3,layer4.1,0.029543
1,1,layer4.1.conv2,L3,layer4.1,6.036404
1,1,layer4.1.bn2,L3,layer4.1,0.093169
1,1,layer4.1.add,L3,layer4.1,0.032896
1,1,layer4.1.relu2,L3,layer4.1,0.02242
1,1,layer4.1,L2,layer4,12.368659
1,1,layer4,L1,model,27.391538
1,1,avgpool,L1,model,0.107907
1,1,fc,L1,model,0.235579
1,1,model,L0,,80.651631
1,2,stem.conv1,L3,stem,3.610639
1,2,stem.bn1,L3,stem,0.862762
1,2,stem.relu,L3,stem,0.348164
1,2,stem.maxpool,L3,stem,7.151297
1,2,stem,L1,model,11.989067
1,2,layer1.0.conv1,L3,layer1.0,3.125515
1,2,layer1.0.bn1,L3,layer1.0,0.182568
1,2,layer1.0.relu1,L3,layer1.0,0.053849
1,2,layer1.0.conv2,L3,layer1.0,2.963969
1,2,layer1.0.bn2,L3,layer1.0,0.24815
1,2,layer1.0.add,L3,layer1.0,0.185082
1,2,layer1.0.relu2,L3,layer1.0,0.050426
1,2,layer1.0,L2,layer1,6.836937
1,2,layer1.1.conv1,L3,layer1.1,2.992953
1,2,layer1.1.bn1,L3,layer1.1,0.107348
1,2,layer1.1.relu1,L3,layer1.1,0.04009
1,2,layer1.1.conv2,L3,layer1.1,2.8576
1,2,layer1.1.bn2,L3,layer1.1,0.094637
1,2,layer1.1.add,L3,layer1.1,0.104694
1,2,layer1.1.relu2,L3,layer1.1,0.040019
1,2,layer1.1,L2,layer1,6.258223
1,2,layer1,L1,model,13.137344
1,2,layer2.0.conv1,L3,layer2.0,1.824841
1,2,layer2.0.bn1,L3,layer2.0,0.091424
1,2,layer2.0.relu1,L3,layer2.0,0.031709
1,2,layer2.0.conv2,L3,layer2.0,3.009716
1,2,layer2.0.bn2,L3,layer2.0,0.069703
1,2,layer2.0.downsample,L3,layer2.0,0.578644
1,2,layer2.0.add,L3,layer2.0,0.093519
1,2,layer2.0.relu2,L3,layer2.0,0.032407
1,2,layer2.0,L2,layer2,5.759758
1,2,layer2.1.conv1,L3,layer2.1,3.016421
1,2,layer2.1.bn1,L3,layer2.1,0.07522
1,2,layer2.1.relu1,L3,layer2.1,0.027169
1,2,layer2.1.conv2,L3,layer2.1,2.914521
1,2,layer2.1.bn2,L3,layer2.1,0.058597
1,2,layer2.1.add,L3,layer2.1,0.043931
1,2,layer2.1.relu2,L3,layer2.1,0.022071
1,2,layer2.1,L2,layer2,6.178393
1,2,layer2,L1,model,11.972514
