unit_name,level,round,round_mean_ms,round_n,round_cv
stem.conv1,L3,1,3.596496,200,0.000745
stem.conv1,L3,2,3.595667,200,0.000745
stem.conv1,L3,3,3.602918,200,0.000745
stem.conv1,L3,4,3.597378,200,0.000745
stem.conv1,L3,5,3.595943,200,0.000745
stem.conv1,L3,6,3.595279,200,0.000745
stem.conv1,L3,7,3.594653,200,0.000745
stem.conv1,L3,8,3.599737,200,0.000745
stem.conv1,L3,9,3.600231,200,0.000745
stem.conv1,L3,10,3.599439,200,0.000745
stem.bn1,L3,1,0.88967,200,0.00095
stem.bn1,L3,2,0.890326,200,0.00095
stem.bn1,L3,3,0.88836,200,0.00095
stem.bn1,L3,4,0.88879,200,0.00095
stem.bn1,L3,5,0.889424,200,0.00095
stem.bn1,L3,6,0.889438,200,0.00095
stem.bn1,L3,7,0.889487,200,0.00095
stem.bn1,L3,8,0.887323,200,0.00095
stem.bn1,L3,9,0.888706,200,0.00095
stem.bn1,L3,10,0.888501,200,0.00095
stem.relu,L3,1,0.332511,200,0.003032
stem.relu,L3,2,0.335065,200,0.003032
stem.relu,L3,3,0.334147,200,0.003032
stem.relu,L3,4,0.333619,200,0.003032
stem.relu,L3,5,0.33467,200,0.003032
stem.relu,L3,6,0.334174,200,0.003032
stem.relu,L3,7,0.335246,200,0.003032
stem.relu,L3,8,0.333157,200,0.003032
stem.relu,L3,9,0.333295,200,0.003032
stem.relu,L3,10,0.332333,200,0.003032
stem.maxpool,L3,1,7.183815,200,0.000502
stem.maxpool,L3,2,7.189715,200,0.000502
stem.maxpool,L3,3,7.189927,200,0.000502
stem.maxpool,L3,4,7.184534,200,0.000502
stem.maxpool,L3,5,7.183657,200,0.000502
stem.maxpool,L3,6,7.188091,200,0.000502
stem.maxpool,L3,7,7.192767,200,0.000502
stem.maxpool,L3,8,7.193175,200,0.000502
stem.maxpool,L3,9,7.191932,200,0.000502
stem.maxpool,L3,10,7.187871,200,0.000502
stem,L1,1,12.02063,200,0.000409
stem,L1,2,12.029399,200,0.000409
stem,L1,3,12.034162,200,0.000409
stem,L1,4,12.023054,200,0.000409
stem,L1,5,12.022014,200,0.000409
stem,L1,6,12.025696,200,0.000409
stem,L1,7,12.031255,200,0.000409
stem,L1,8,12.031916,200,0.000409
stem,L1,9,12.033471,200,0.000409
stem,L1,10,12.026468,200,0.000409
layer1.0.conv1,L3,1,3.136121,200,0.002765
layer1.0.conv1,L3,2,3.139195,200,0.002765
