unit_name,level,parent,n,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,pct_of_model
model,L0,,2000,73.752891,73.71185,0.262319,74.025654,73.169226,80.651631,100.0
layer4,L1,model,2000,22.63914,22.626991,0.119248,22.724957,22.522708,27.391538,30.7
layer3,L1,model,2000,13.688774,13.683777,0.057892,13.769714,13.542224,14.407429,18.56
layer1,L1,model,2000,13.070576,13.066675,0.065648,13.166125,12.69519,13.619407,17.72
stem,L1,model,2000,12.027806,12.01307,0.133343,12.082043,11.938857,14.328162,16.31
layer2,L1,model,2000,11.968156,11.948989,0.093783,12.143635,11.780531,12.703221,16.23
fc,L1,model,2000,0.232067,0.229502,0.008008,0.247452,0.218816,0.311846,0.31
avgpool,L1,model,2000,0.092283,0.090097,0.00649,0.105742,0.086256,0.176282,0.13
layer4.1,L2,layer4,2000,12.300101,12.291882,0.038674,12.363573,12.231572,12.825782,16.68
layer4.0,L2,layer4,2000,10.30648,10.297006,0.110256,10.366143,10.235261,14.991658,13.97
layer3.1,L2,layer3,2000,7.340188,7.334848,0.040318,7.406712,7.24426,7.901273,9.95
layer1.0,L2,layer1,2000,6.60557,6.757527,0.210125,6.850908,6.349444,7.177071,8.96
layer1.1,L2,layer1,2000,6.4205,6.353248,0.183725,6.645787,6.197253,7.003727,8.71
layer3.0,L2,layer3,2000,6.316069,6.309807,0.035811,6.377872,6.24573,6.617989,8.56
layer2.1,L2,layer2,2000,6.167624,6.157861,0.041699,6.240907,6.087186,6.5471,8.36
layer2.0,L2,layer2,2000,5.765168,5.75449,0.063656,5.875072,5.639776,6.463071,7.82
stem.maxpool,L3,stem,2000,7.188548,7.183639,0.032795,7.234279,7.132789,7.671695,9.75
layer4.1.conv1,L3,layer4.1,2000,6.038872,6.034596,0.025493,6.080134,6.000088,6.453993,8.19
layer4.0.conv2,L3,layer4.0,2000,6.02873,6.022439,0.106493,6.06609,5.985424,10.69831,8.17
layer4.1.conv2,L3,layer4.1,2000,5.971496,5.967754,0.0208,6.009938,5.926125,6.183913,8.1
layer3.0.conv2,L3,layer3.0,2000,3.605174,3.600444,0.02219,3.644653,3.571463,3.852574,4.89
stem.conv1,L3,stem,2000,3.597774,3.595346,0.040437,3.627267,3.559379,4.246067,4.88
layer3.1.conv1,L3,layer3.1,2000,3.57591,3.575128,0.021939,3.608479,3.519148,3.871575,4.85
layer4.0.conv1,L3,layer4.0,2000,3.485094,3.481329,0.020014,3.520546,3.440717,3.707932,4.73
layer3.1.conv2,L3,layer3.1,2000,3.456587,3.452867,0.021853,3.495194,3.415362,3.668962,4.69
layer1.0.conv1,L3,layer1.0,2000,3.128923,3.126354,0.024552,3.158202,3.051834,3.484575,4.24
layer2.0.conv2,L3,layer2.0,2000,3.022831,3.00972,0.029468,3.081655,2.991491,3.176572,4.1
layer2.1.conv1,L3,layer2.1,2000,2.998784,2.998856,0.01949,3.028853,2.94742,3.159532,4.07
layer1.1.conv1,L3,layer1.1,2000,2.953162,2.973958,0.042728,3.006506,2.869546,3.092969,4.0
layer1.0.conv2,L3,layer1.0,2000,2.911599,2.94466,0.061575,2.989045,2.831342,3.142768,3.95
layer1.1.conv2,L3,layer1.1,2000,2.914604,2.915501,0.06409,2.991631,2.830711,3.162813,3.95
layer2.1.conv2,L3,layer2.1,2000,2.914496,2.911103,0.014358,2.941411,2.88547,3.129776,3.95
layer3.0.conv1,L3,layer3.0,2000,1.9223,1.920107,0.013589,1.942666,1.889517,2.021448,2.61
