parent,parent_mean_ms,children_sum_ms,gap_ms,gap_pct,num_children
layer3.0,6.316069,6.284676,0.031393,0.5,8
layer2.0,5.765168,5.738054,0.027114,0.47,8
layer1.0,6.60557,6.578767,0.026803,0.41,7
layer3.1,7.340188,7.314416,0.025772,0.35,7
layer1.1,6.4205,6.398321,0.022179,0.35,7
layer1,13.070576,13.02607,0.044506,0.34,2
layer2.1,6.167624,6.147694,0.01993,0.32,7
layer2,11.968156,11.932792,0.035364,0.3,2
layer4.0,10.30648,10.275825,0.030655,0.3,8
layer3,13.688774,13.656257,0.032517,0.24,2
layer4.1,12.300101,12.273795,0.026306,0.21,7
stem,12.027806,12.009147,0.018659,0.16,4
layer4,22.63914,22.606581,0.032559,0.14,2
model,73.752891,73.718802,0.034089,0.05,7
