LAST SEEN   TYPE     REASON      OBJECT                                MESSAGE
101s        Normal   Scheduled   pod/benchmark-client                  Successfully assigned rq21-client-mtls/benchmark-client to aks-rq15pool-19952245-vmss000000
69s         Normal   Scheduled   pod/rq21-direct-deny-20260429110752   Successfully assigned rq21-client-mtls/rq21-direct-deny-20260429110752 to aks-rq15pool-19952245-vmss000000
101s        Normal   Pulling     pod/benchmark-client                  Pulling image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221"
101s        Normal   Pulled      pod/benchmark-client                  Successfully pulled image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221" in 114ms (114ms including waiting). Image size: 2948421293 bytes.
101s        Normal   Created     pod/benchmark-client                  Created container: client
101s        Normal   Started     pod/benchmark-client                  Started container client
69s         Normal   Pulling     pod/rq21-direct-deny-20260429110752   Pulling image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221"
69s         Normal   Pulled      pod/rq21-direct-deny-20260429110752   Successfully pulled image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221" in 144ms (144ms including waiting). Image size: 2948421293 bytes.
69s         Normal   Created     pod/rq21-direct-deny-20260429110752   Created container: debug
69s         Normal   Started     pod/rq21-direct-deny-20260429110752   Started container debug
59s         Normal   Killing     pod/rq21-direct-deny-20260429110752   Stopping container debug
