LAST SEEN   TYPE     REASON              OBJECT                                         MESSAGE
69s         Normal   Scheduled           pod/chain-5svc-plain-svc-2-dc4b7b74f-d4b47     Successfully assigned rq21-chain5-plain/chain-5svc-plain-svc-2-dc4b7b74f-d4b47 to aks-rq15pool-92711761-vmss000000
69s         Normal   Scheduled           pod/chain-5svc-plain-svc-4-769b867475-mnqbc    Successfully assigned rq21-chain5-plain/chain-5svc-plain-svc-4-769b867475-mnqbc to aks-rq15pool-92711761-vmss000000
68s         Normal   Scheduled           pod/chain-5svc-plain-svc-5-b7495b95b-87js5     Successfully assigned rq21-chain5-plain/chain-5svc-plain-svc-5-b7495b95b-87js5 to aks-rq15pool-92711761-vmss000000
70s         Normal   Scheduled           pod/chain-5svc-plain-svc-1-5547df97bd-lvvk2    Successfully assigned rq21-chain5-plain/chain-5svc-plain-svc-1-5547df97bd-lvvk2 to aks-rq15pool-92711761-vmss000000
69s         Normal   Scheduled           pod/chain-5svc-plain-svc-3-869fcf9dd6-nf27z    Successfully assigned rq21-chain5-plain/chain-5svc-plain-svc-3-869fcf9dd6-nf27z to aks-rq15pool-92711761-vmss000000
70s         Normal   SuccessfulCreate    replicaset/chain-5svc-plain-svc-1-5547df97bd   Created pod: chain-5svc-plain-svc-1-5547df97bd-lvvk2
70s         Normal   ScalingReplicaSet   deployment/chain-5svc-plain-svc-1              Scaled up replica set chain-5svc-plain-svc-1-5547df97bd from 0 to 1
69s         Normal   Created             pod/chain-5svc-plain-svc-2-dc4b7b74f-d4b47     Created container: inference
69s         Normal   Started             pod/chain-5svc-plain-svc-1-5547df97bd-lvvk2    Started container inference
69s         Normal   Pulled              pod/chain-5svc-plain-svc-2-dc4b7b74f-d4b47     Successfully pulled image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221" in 124ms (124ms including waiting). Image size: 2948421293 bytes.
69s         Normal   SuccessfulCreate    replicaset/chain-5svc-plain-svc-4-769b867475   Created pod: chain-5svc-plain-svc-4-769b867475-mnqbc
69s         Normal   Started             pod/chain-5svc-plain-svc-2-dc4b7b74f-d4b47     Started container inference
69s         Normal   SuccessfulCreate    replicaset/chain-5svc-plain-svc-2-dc4b7b74f    Created pod: chain-5svc-plain-svc-2-dc4b7b74f-d4b47
69s         Normal   ScalingReplicaSet   deployment/chain-5svc-plain-svc-2              Scaled up replica set chain-5svc-plain-svc-2-dc4b7b74f from 0 to 1
69s         Normal   Pulling             pod/chain-5svc-plain-svc-2-dc4b7b74f-d4b47     Pulling image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221"
69s         Normal   Pulling             pod/chain-5svc-plain-svc-3-869fcf9dd6-nf27z    Pulling image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221"
69s         Normal   Created             pod/chain-5svc-plain-svc-1-5547df97bd-lvvk2    Created container: inference
69s         Normal   Pulled              pod/chain-5svc-plain-svc-1-5547df97bd-lvvk2    Successfully pulled image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221" in 89ms (89ms including waiting). Image size: 2948421293 bytes.
69s         Normal   ScalingReplicaSet   deployment/chain-5svc-plain-svc-4              Scaled up replica set chain-5svc-plain-svc-4-769b867475 from 0 to 1
69s         Normal   SuccessfulCreate    replicaset/chain-5svc-plain-svc-3-869fcf9dd6   Created pod: chain-5svc-plain-svc-3-869fcf9dd6-nf27z
69s         Normal   ScalingReplicaSet   deployment/chain-5svc-plain-svc-3              Scaled up replica set chain-5svc-plain-svc-3-869fcf9dd6 from 0 to 1
69s         Normal   Pulling             pod/chain-5svc-plain-svc-1-5547df97bd-lvvk2    Pulling image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221"
68s         Normal   Pulled              pod/chain-5svc-plain-svc-3-869fcf9dd6-nf27z    Successfully pulled image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221" in 111ms (111ms including waiting). Image size: 2948421293 bytes.
68s         Normal   Pulled              pod/chain-5svc-plain-svc-4-769b867475-mnqbc    Successfully pulled image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221" in 103ms (104ms including waiting). Image size: 2948421293 bytes.
68s         Normal   Created             pod/chain-5svc-plain-svc-4-769b867475-mnqbc    Created container: inference
68s         Normal   Started             pod/chain-5svc-plain-svc-4-769b867475-mnqbc    Started container inference
68s         Normal   Pulling             pod/chain-5svc-plain-svc-4-769b867475-mnqbc    Pulling image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221"
68s         Normal   Started             pod/chain-5svc-plain-svc-3-869fcf9dd6-nf27z    Started container inference
68s         Normal   Created             pod/chain-5svc-plain-svc-3-869fcf9dd6-nf27z    Created container: inference
68s         Normal   Pulling             pod/chain-5svc-plain-svc-5-b7495b95b-87js5     Pulling image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221"
68s         Normal   Pulled              pod/chain-5svc-plain-svc-5-b7495b95b-87js5     Successfully pulled image "thesisrq21acr26.azurecr.io/thesis-inference@sha256:524e8618c61d97f466b647cdc408e836256a94807790ad66321ae724f975a221" in 89ms (89ms including waiting). Image size: 2948421293 bytes.
68s         Normal   Created             pod/chain-5svc-plain-svc-5-b7495b95b-87js5     Created container: inference
68s         Normal   Started             pod/chain-5svc-plain-svc-5-b7495b95b-87js5     Started container inference
68s         Normal   SuccessfulCreate    replicaset/chain-5svc-plain-svc-5-b7495b95b    Created pod: chain-5svc-plain-svc-5-b7495b95b-87js5
68s         Normal   ScalingReplicaSet   deployment/chain-5svc-plain-svc-5              Scaled up replica set chain-5svc-plain-svc-5-b7495b95b from 0 to 1
