round,iteration,unit_name,level,parent,elapsed_ms
1,1,stem.conv1,L3,stem,3.404512
1,1,stem.bn1,L3,stem,0.13777
1,1,stem.relu,L3,stem,0.062514
1,1,stem.maxpool,L3,stem,4.10029
1,1,stem,L1,model,7.708136
1,1,layer1.0.conv1,L3,layer1.0,1.880169
1,1,layer1.0.bn1,L3,layer1.0,0.053903
1,1,layer1.0.relu1,L3,layer1.0,0.019992
1,1,layer1.0.conv2,L3,layer1.0,2.240932
1,1,layer1.0.bn2,L3,layer1.0,0.070355
1,1,layer1.0.add,L3,layer1.0,0.040252
1,1,layer1.0.relu2,L3,layer1.0,0.022721
1,1,layer1.0,L2,layer1,4.335305
1,1,layer1.1.conv1,L3,layer1.1,2.307897
1,1,layer1.1.bn1,L3,layer1.1,0.063384
1,1,layer1.1.relu1,L3,layer1.1,0.023012
1,1,layer1.1.conv2,L3,layer1.1,2.094998
1,1,layer1.1.bn2,L3,layer1.1,0.070505
1,1,layer1.1.add,L3,layer1.1,0.030482
1,1,layer1.1.relu2,L3,layer1.1,0.024542
1,1,layer1.1,L2,layer1,4.6219
1,1,layer1,L1,model,8.971026
1,1,layer2.0.conv1,L3,layer2.0,1.205263
1,1,layer2.0.bn1,L3,layer2.0,0.064004
1,1,layer2.0.relu1,L3,layer2.0,0.018011
1,1,layer2.0.conv2,L3,layer2.0,3.3846
1,1,layer2.0.bn2,L3,layer2.0,0.048043
1,1,layer2.0.downsample,L3,layer2.0,0.339423
1,1,layer2.0.add,L3,layer2.0,0.026722
1,1,layer2.0.relu2,L3,layer2.0,0.021192
1,1,layer2.0,L2,layer2,5.118069
1,1,layer2.1.conv1,L3,layer2.1,1.938418
1,1,layer2.1.bn1,L3,layer2.1,0.053463
1,1,layer2.1.relu1,L3,layer2.1,0.014861
1,1,layer2.1.conv2,L3,layer2.1,1.661519
1,1,layer2.1.bn2,L3,layer2.1,0.040693
1,1,layer2.1.add,L3,layer2.1,0.017411
1,1,layer2.1.relu2,L3,layer2.1,0.013221
1,1,layer2.1,L2,layer2,3.745106
1,1,layer2,L1,model,8.876475
1,1,layer3.0.conv1,L3,layer3.0,0.899501
1,1,layer3.0.bn1,L3,layer3.0,0.046363
1,1,layer3.0.relu1,L3,layer3.0,0.01224
1,1,layer3.0.conv2,L3,layer3.0,1.640552
1,1,layer3.0.bn2,L3,layer3.0,0.030772
1,1,layer3.0.downsample,L3,layer3.0,0.243717
1,1,layer3.0.add,L3,layer3.0,0.012651
1,1,layer3.0.relu2,L3,layer3.0,0.012161
1,1,layer3.0,L2,layer3,2.904198
