unit_name,level,round,round_mean_ms,round_n,round_cv
stem.conv1,L3,1,1.741913,200,0.00315
stem.conv1,L3,2,1.735649,200,0.00315
stem.conv1,L3,3,1.743201,200,0.00315
stem.conv1,L3,4,1.732896,200,0.00315
stem.conv1,L3,5,1.741855,200,0.00315
stem.conv1,L3,6,1.733706,200,0.00315
stem.conv1,L3,7,1.748762,200,0.00315
stem.conv1,L3,8,1.741131,200,0.00315
stem.conv1,L3,9,1.733073,200,0.00315
stem.conv1,L3,10,1.74436,200,0.00315
stem.bn1,L3,1,0.124895,200,0.006383
stem.bn1,L3,2,0.12464,200,0.006383
stem.bn1,L3,3,0.125807,200,0.006383
stem.bn1,L3,4,0.123453,200,0.006383
stem.bn1,L3,5,0.125477,200,0.006383
stem.bn1,L3,6,0.125092,200,0.006383
stem.bn1,L3,7,0.126401,200,0.006383
stem.bn1,L3,8,0.125202,200,0.006383
stem.bn1,L3,9,0.125805,200,0.006383
stem.bn1,L3,10,0.125372,200,0.006383
stem.relu,L3,1,0.04932,200,0.00831
stem.relu,L3,2,0.04891,200,0.00831
stem.relu,L3,3,0.048961,200,0.00831
stem.relu,L3,4,0.048558,200,0.00831
stem.relu,L3,5,0.048514,200,0.00831
stem.relu,L3,6,0.048984,200,0.00831
stem.relu,L3,7,0.049576,200,0.00831
stem.relu,L3,8,0.048908,200,0.00831
stem.relu,L3,9,0.049381,200,0.00831
stem.relu,L3,10,0.049735,200,0.00831
stem.maxpool,L3,1,4.014072,200,0.003904
stem.maxpool,L3,2,4.013503,200,0.003904
stem.maxpool,L3,3,4.021741,200,0.003904
stem.maxpool,L3,4,4.015802,200,0.003904
stem.maxpool,L3,5,4.038501,200,0.003904
stem.maxpool,L3,6,4.022056,200,0.003904
stem.maxpool,L3,7,4.064528,200,0.003904
stem.maxpool,L3,8,4.036576,200,0.003904
stem.maxpool,L3,9,4.01887,200,0.003904
stem.maxpool,L3,10,4.026609,200,0.003904
stem,L1,1,5.932559,200,0.003476
stem,L1,2,5.925043,200,0.003476
stem,L1,3,5.942042,200,0.003476
stem,L1,4,5.923042,200,0.003476
stem,L1,5,5.956747,200,0.003476
stem,L1,6,5.932296,200,0.003476
stem,L1,7,5.991692,200,0.003476
stem,L1,8,5.95433,200,0.003476
stem,L1,9,5.929602,200,0.003476
stem,L1,10,5.948625,200,0.003476
layer1.0.conv1,L3,1,1.677544,200,0.003347
