unit_name,level,parent,n,mean_ms,median_ms,std_ms,p95_ms,min_ms,max_ms,pct_of_model
model,L0,,2000,32.603392,32.40118,0.926737,33.892504,31.637721,43.66519,100.0
layer4,L1,model,2000,7.181928,7.082361,0.383417,7.727548,6.766661,12.205887,22.03
layer1,L1,model,2000,6.980153,6.941002,0.187625,7.214528,6.784364,9.644574,21.41
layer2,L1,model,2000,6.198866,6.159377,0.186043,6.420821,6.020672,8.876475,19.01
layer3,L1,model,2000,6.116108,6.062435,0.295154,6.341822,5.920916,11.471773,18.76
stem,L1,model,2000,5.943598,5.912396,0.149723,6.114149,5.783186,7.994386,18.23
fc,L1,model,2000,0.134706,0.131399,0.016484,0.162481,0.110857,0.318611,0.41
avgpool,L1,model,2000,0.040581,0.038148,0.008018,0.056344,0.031282,0.103867,0.12
layer4.1,L2,layer4,2000,3.847394,3.806383,0.180566,4.104177,3.643819,7.010138,11.8
layer1.0,L2,layer1,2000,3.498675,3.474404,0.107123,3.642808,3.379207,4.896689,10.73
layer1.1,L2,layer1,2000,3.469803,3.445914,0.100843,3.613188,3.351625,4.721924,10.64
layer2.1,L2,layer2,2000,3.347174,3.32146,0.107165,3.480127,3.242478,5.587338,10.27
layer4.0,L2,layer4,2000,3.324617,3.26616,0.256527,3.624535,3.088491,8.153416,10.2
layer3.1,L2,layer3,2000,3.306019,3.27632,0.153358,3.443315,3.19103,6.892013,10.14
layer2.0,L2,layer2,2000,2.841553,2.818619,0.109806,2.97775,2.722136,5.118069,8.72
layer3.0,L2,layer3,2000,2.800403,2.76846,0.189028,2.946758,2.666252,7.214649,8.59
stem.maxpool,L3,stem,2000,4.027226,4.002446,0.101327,4.159656,3.923499,5.37221,12.35
layer4.0.conv2,L3,layer4.0,2000,1.921617,1.887392,0.144874,2.119903,1.768288,4.41571,5.89
layer4.1.conv1,L3,layer4.1,2000,1.885801,1.860471,0.117525,2.043567,1.76367,4.967129,5.78
layer4.1.conv2,L3,layer4.1,2000,1.865345,1.846887,0.079314,1.983516,1.757681,2.598295,5.72
stem.conv1,L3,stem,2000,1.739655,1.726505,0.070459,1.816125,1.678191,3.404512,5.34
layer1.0.conv1,L3,layer1.0,2000,1.677183,1.663164,0.055385,1.756898,1.612308,2.366592,5.14
layer1.1.conv1,L3,layer1.1,2000,1.655418,1.641415,0.057783,1.737355,1.593579,2.503804,5.08
layer1.0.conv2,L3,layer1.0,2000,1.650159,1.636573,0.055818,1.722188,1.586687,2.276991,5.06
layer1.1.conv2,L3,layer1.1,2000,1.647699,1.635755,0.049006,1.718463,1.588738,2.207767,5.05
layer2.0.conv2,L3,layer2.0,2000,1.619708,1.60672,0.065103,1.696551,1.558388,3.3846,4.97
