parent,parent_mean_ms,children_sum_ms,gap_ms,gap_pct,num_children
layer3.0,2.800403,2.79378,0.006623,0.24,8
layer2.0,2.841553,2.83528,0.006273,0.22,8
layer4.0,3.324617,3.318697,0.00592,0.18,8
layer1,6.980153,6.968478,0.011675,0.17,2
layer1.0,3.498675,3.492646,0.006029,0.17,7
layer2,6.198866,6.188727,0.010139,0.16,2
layer3,6.116108,6.106422,0.009686,0.16,2
layer4,7.181928,7.172011,0.009917,0.14,2
layer1.1,3.469803,3.465141,0.004662,0.13,7
layer2.1,3.347174,3.342706,0.004468,0.13,7
layer3.1,3.306019,3.301766,0.004253,0.13,7
layer4.1,3.847394,3.843156,0.004238,0.11,7
stem,5.943598,5.94118,0.002418,0.04,4
model,32.603392,32.59594,0.007452,0.02,7
